Id,WarehouseId,Type,Name,Zone,Level,Position,Barcode,Rack,StoreTime,CreateTime,CreatedById,Capacity,MaxWeight,Sorting
206,5,3,WH1-H5-R01-L3-P25,501,3,25,1501325,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
207,5,3,WH1-H5-R01-L3-P26,501,3,26,1501326,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
208,5,3,WH1-H5-R01-L3-P27,501,3,27,1501327,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
209,5,3,WH1-H5-R01-L3-P28,501,3,28,1501328,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
210,5,3,WH1-H5-R01-L3-P29,501,3,29,1501329,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
211,5,3,WH1-H5-R01-L3-P30,501,3,30,1501330,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
212,5,3,WH1-H5-R01-L3-P31,501,3,31,1501331,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
213,5,3,WH1-H5-R01-L3-P32,501,3,32,1501332,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
214,5,3,WH1-H5-R01-L3-P33,501,3,33,1501333,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
215,5,3,WH1-H5-R01-L3-P34,501,3,34,1501334,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
216,5,3,WH1-H5-R01-L3-P35,501,3,35,1501335,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
217,5,3,WH1-H5-R01-L3-P36,501,3,36,1501336,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
